"sno","occupation_title","nco_2015","nco_2004","division","subdivision","group","family"
"852","LED Luminaries Testing and Measurement","3113.1001","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electrical Engineering Technicians"
"853","LED Light Repair Technician","3113.1002","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electrical Engineering Technicians"
"854","Electrical Technicians, Other","3113.9900","3113.90","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electrical Engineering Technicians"
"855","Electronics Technician","3114.0100","3114.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"856","Television Chassis Inspector/Television Technician","3114.0200","3152.60","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"857","BSS Support Engineer","3114.0601","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"858","Field Maintenance Engineer","3114.0701","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"859","ICT Engineer","3114.0801","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"860","ICT Technician","3114.0802","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"861","Broadband Technician","3114.0804","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"862","Installation Engineer – L2 & L3","3114.0901","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"863","Installation Engineer Installation Engineer – SDH & DWDM–","3114.0902","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"864","Product Specialist Engineer","3114.1101","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"865","Transmission Engineer","3114.1201","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"866","Network Management Engineer","3114.1301","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"867","Electronics and Telecommunications Engineering Technicians, Other","3114.9900","3114.90","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Electronics Engineering Technicians"
"868","Body Shop In-Charge","3115.0104","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"869","Train Examiner","3115.1600","3115.70","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"870","Workshop Manager","3115.0105","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"871","Mechanical Engineering Technicians, Other","3115.9900","3115.90","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"872","Automotive Engineering Technician/Testing Manager","3115.0201","3115.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"873","Test Engineer Product/Vehicle","3115.0202","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"874","Executive, Proto Manufacturing","3115.0301","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"875","Method Study Executive","3115.0401","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"876","Manager Maintenance Mechanical & Electrical","3115.0501","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"877","Master Auto Service Technician/Auto Service Technician","3115.0601","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"878","Auto Service Technical Manager/Auto Service Technician","3115.0602","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"879","Aeronautical Engineering Technician","3115.1000","3115.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"880","Heating, Ventilation and Refrigeration Engineering Technician","3115.1100","3115.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"881","Die Designer","3115.1200","3115.50","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"882","Tool Designer","3115.1301","3115.50","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"883","Mechanical Engineering Technician/Supervisor R&D Testing","3115.0101","3115.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"884","Tool Room Supervisor","3115.1302","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"885","Maintenance Technician – Mechanical","3115.0102","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"886","Loco Foreman","3115.1400","3115.60","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"887","Maintenance Technician Assistant – Mechanical","3115.0103","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"888","Yard Foreman, Railway","3115.1500","3115.65","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mechanical Engineering Technicians"
"889","Laboratory Assistant, Glass and Ceramics","3116.0100","3116.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Chemical Engineering Technicians"
"890","Laboratory Assistant, Food & Beverages/ Chemist/ Analytical Supervisor/Lab Chemist","3116.0200","3116.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Chemical Engineering Technicians"
"891","Laboratory Assistant, Chemical Engineering General","3116.0300","3116.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Chemical Engineering Technicians"
"892","Core Analyst, Petrol and Natural Gas","3116.0400","3116.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Chemical Engineering Technicians"
"893","Laboratory Assistant, Petroleum and Lubricants","3116.0500","3116.50","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Chemical Engineering Technicians"
"894","Chemist, Water Purification/Water Treatment","3116.0600","3116.60","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Chemical Engineering Technicians"
"895","Chemical Engineering Technicians, Other/Chemical Process Technicians","3116.9900","3116.90","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Chemical Engineering Technicians"
"896","Rock Slicer","3117.0100","3117.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mining and Metallurgical Technicians"
"897","Petroleum and Natural Gas Extraction Technician","3117.0200","3117.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mining and Metallurgical Technicians"
"898","Laboratory Assistant, Metallurgical","3117.0300","3117.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mining and Metallurgical Technicians"
"899","Mining and Metallurgical Technicians, Other","3117.9900","3117.90","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Mining and Metallurgical Technicians"
"900","Draughtperson, Electrical","3118.0300","3118.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"901","Draftsman","3118.0301","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"902","Physical Design Engineer","3118.0302","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"903","Draughtperson, Mechanical","3118.0401","3118.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"904","Draughtsman – Mechanical","3118.0402","3118.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"905","Draughtperson, Structural","3118.0500","3118.50","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"906","Draughtperson, Topographical","3118.0600","3118.60","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"907","Lithographic Designer","3118.0700","3118.70","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"908","Tracer","3118.0800","3118.80","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"909","Blue Printer","3118.0900","3118.85","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"910","Draughtpersons, Other","3118.9900","3118.90","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"911","Draughtperson, Architectural","3118.0100","3118.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"912","Draughtperson, Civil","3118.0200","3118.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"913","Plumbing Draftsman","3118.0201","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Draughtpersons"
"914","Weather Observer","3119.0600","3119.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Physical and Engineering Science Technicians Not Elsewhere Classified"
"915","Methods, Time and Motion Study Technician","3119.0700","3119.50","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Physical and Engineering Science Technicians Not Elsewhere Classified"
"916","Fire Prevention Officer","3119.0800","3151.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Physical and Engineering Science Technicians Not Elsewhere Classified"
"917","Fire Officer","3119.0900","3151.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Physical and Engineering Science Technicians Not Elsewhere Classified"
"918","Fire Inspectors, Other","3119.1000","3151.90","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Physical and Engineering Science Technicians Not Elsewhere Classified"
"919","Laser Technician","3119.1100","3139.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Physical and Engineering Science Technicians Not Elsewhere Classified"
"920","Optical and Electronic Equipment Controllers, Other","3119.9900","3139.90","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Physical and Engineering Science Technicians Not Elsewhere Classified"
"921","Laboratory Assistant, Engineering","3119.0100","3119.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Physical and Engineering Science Technicians Not Elsewhere Classified"
"922","Forensic Science Technician","3119.0200","3119.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Physical and Engineering Science Technicians Not Elsewhere Classified"
"923","Fingerprint Expert","3119.0300","3119.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Physical and Engineering Science Technicians Not Elsewhere Classified"
"924","Handwriting Expert","3119.0400","3119.35","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Physical and Engineering Science Technicians Not Elsewhere Classified"
"925","Impression Taker","3119.0500","3119.37","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Physical and Engineering Science Technicians","Physical and Engineering Science Technicians Not Elsewhere Classified"
"926","Supervisor and Foreman, Mining and Quarrying","3121.0100","8118.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Mining Supervisors"
"927","Supervisor and Foreman, Well Drilling","3121.0200","8118.15","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Mining Supervisors"
"928","Supervisor and Foreman, Mineral Treating","3121.0300","8118.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Mining Supervisors"
"929","Overman, Colliery","3121.0400","8118.25","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Mining Supervisors"
"930","Sirdar, Colliery","3121.0500","8118.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Mining Supervisors"
"931","Mud Supervisor","3121.0600","8118.35","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Mining Supervisors"
"932","Well Pulling Supervisor","3121.0700","8118.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Mining Supervisors"
"933","Gas Supervisor","3121.0800","8118.50","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Mining Supervisors"
"934","Supervisors and Foremen in Mining and Mineral Processing Plant Operation Activities, Other","3121.9900","8118.90","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Mining Supervisors"
"935","Supervisors and Foremen, Metal Making, Converting and Refining","3122.0100","8128.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"936","Supervisor and Foreman, Rubber Goods Making","3122.2000","8238.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"937","Production Supervisor – Sewing","3122.3551","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"938","Supervisor and Foreman, Blacksmith","3122.4900","7228.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"939","Blade Sawing Supervisor","3122.6504","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"940","Foreman, Blast Furnace","3122.0200","8128.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"941","Supervisor and Foreman, Plastic Products Making","3122.2100","8238.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"942","Supervisor and Foreman, Brush Making","3122.3600","7424.05","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"943","Supervisor and Foreman, Tool Making/Die Making","3122.5000","7228.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"944","Laser Supervisor","3122.6505","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"945","Stock House Foreman","3122.0300","8128.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"946","Plastic Moulding Shop Supervisor","3122.2200","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"947","Supervisor and Foreman, Tobacco Preparation, Cigar and Cigarette Making","3122.3800","8279.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"948","Supervisor and Foreman, Machinery Fitting and Repairing","3122.5200","7238.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"949","Bruting Supervisor","3122.6506","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"950","Supervisor and Foreman, Metal Treating","3122.0400","8128.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"951","Plastic Moulding Shift In-Charge","3122.2300","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"952","Supervisor and Foreman, Tobacco Product Making","3122.3900","8279.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"953","Supervisor and Foreman, Motor Vehicle Repairing","3122.5300","7238.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"954","Blocking Supervisor","3122.6507","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"955","Supervisor and Foreman, Metal Drawing and Extruding","3122.0500","8128.50","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"956","Supervisor and Foreman, Wood Working (Machine)","3122.2400","8248.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"957","Supervisor and Foreman, Material and Freight Handling","3122.4000","8290.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"958","Supervisor and Foreman, Aircraft Repairing","3122.5400","7238.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"959","Polishing Supervisor","3122.6508","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"960","Assembly Line Supervisor","3122.0601","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"961","Supervisor and Foreman, Carpentry, Cabinet Making and Related Wood Working Processes","3122.2500","8248.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"962","Supervisor and Foreman, Checking, Sorting, Packing and Related Activities","3122.4100","8290.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"963","Supervisor and Foreman, Electrical and Electronic Equipment","3122.5600","7248.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"964","Final Assortment Supervisor","3122.6509","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"965","Supervisor and Foreman, Glass Forming and Related Activities","3122.0800","8138.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"966","Supervisor and Foreman, Paper and Paper Board Product Making","3122.2600","8258.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"967","Supervisor and Foreman, Welding and Flame Cutting","3122.4200","7218.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"968","Engineering Supervisor, Telephone","3122.5700","7248.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"969","Supervisor Faceting and Polishing","3122.6511","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"970","Supervisor and Foreman, Ceramics and Related Activities","3122.0900","8138.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"971","Jobber (Textile)","3122.2800","8268.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"972","Supervisor and Foreman, Sheet and Structural Metal Working","3122.4300","7218.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"973","Sub-Inspector, Telephone","3122.5800","7248.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"974","Supervisor and Foreman, Photolitho, Photo Engraving and Dark Room Operations","3122.6600","7348.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"975","Supervisor and Foreman, Wood Preparation and Papermaking","3122.1000","8148.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"976","Supervisor and Foreman, Hosiery","3122.2900","8268.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"977","Casting Line In-Charge","3122.4401","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"978","Charge Hand, Rack Wiring (Telephone Equipment) Manufacturing","3122.5900","7248.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"979","Supervisor and Foreman, Printing and Related Work","3122.6700","7348.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"980","Supervisor and Foreman, Paper Pulp and Papermaking","3122.1100","8148.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"981","Supervisor and Foreman, Tanning and Pelt Dressing","3122.3000","8268.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"982","Casting Line Supervisor","3122.4402","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"983","Line Supervisor, Electrical","3122.6000","7248.50","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"984","Supervisor and Foreman, Food Processing/Production Supervisor","3122.6900","7418.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"985","Supervisor and Foreman, Chemical Processing and Related Activities","3122.1300","8158.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"986","Supervisor and Foreman, Shoemaking","3122.3100","8268.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"987","Forging Shop Shift In-Charge","3122.4501","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"988","Supervisor and Foreman, Precision Instrument Making (Except Electrical)","3122.6200","7318.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"989","Juice Clarification Supervisor","3122.7000","7418.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"990","Supervisor and Foreman, Petroleum Refining and Related Activities/Operator/Engineering Assistant (Mechanical/Electrical/Civil/Chemical) Related Activities","3122.1400","8158.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"991","Supervisor and Foreman, Harness and Saddle Making","3122.3200","8268.50","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"992","Forging Shop Supervisor","3122.4502","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"993","Supervisor and Foreman, Musical Instrument Making","3122.6300","7318.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"994","Supervisor and Foreman, Brewing, Aerated Water and Beverage Making","3122.7100","7418.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"995","Boiler Supervisor","3122.1600","8168.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"996","Supervisor and Foreman, Leather Goods Making","3122.3300","8268.60","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"997","Press Shop Shift In-Charge","3122.4601","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"998","Supervisor, Jewellery, Engraving and Precision Metal Workers","3122.6400","7318.30","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"999","Supervisor and Foreman, Dairy Products/Dairy Technologist","3122.7200","7418.40","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1000","Supervisors and Foremen, Stationary Engine and Related Equipment","3122.1700","8168.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1001","Production Supervisor – Sewing","3122.3551","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1002","Supervisor and Foreman, Blacksmith","3122.4900","7228.10","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1003","Blade Sawing Supervisor","3122.6504","","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1004","Foreman, Blast Furnace","3122.0200","8128.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1005","Supervisor and Foreman, Plastic Products Making","3122.2100","8238.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1006","Supervisor and Foreman, Brush Making","3122.3600","7424.05","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
"1007","Supervisor and Foreman, Tool Making/Die Making","3122.5000","7228.20","Technicians and Associate Professionals","Science and Engineering Associate Professionals","Mining, Manufacturing and Construction Supervisors","Manufacturing Supervisors"
